vc_1,vc_2,hpc_1,hpc_2,vmpfc_1,vmpfc_2
0.770791031824616,0.733278709696777,0.528431758198667,0.551426170701381,0.511662263429683,0.546501951596489
0.709319347448217,0.766419579195314,0.552070517828548,0.549012222572272,0.55622306597055,0.530539533541984
0.831987213054772,0.789603536560058,0.536944483964608,0.565830449531823,0.565928828796476,0.613738410923765
0.74099053716998,0.734613505455897,0.562785407368502,0.571183089253741,0.537005543868864,0.487727860907209
0.818380926369648,0.776902844795002,0.533220367544229,0.554001776183149,0.579215110470639,0.557441179009806
0.773360067979144,0.763815584713417,0.494695427061717,0.517068652022212,0.503499218450912,0.566498108015136
0.750331275353044,0.754558168893179,0.49242538838369,0.557022569912792,0.516119385520024,0.594492761304552
0.806432418797615,0.844852885154428,0.57328379227889,0.526282440418135,0.504362782732881,0.566447130670483
0.868254412876262,0.824080009496676,0.563020451770452,0.520351022434356,0.538569534651467,0.54715700965701
0.824379976300726,0.793580369210621,0.493437515294007,0.595113582279106,0.554969242583372,0.552661758790131
0.763206357270144,0.781548355092387,0.537006157937689,0.550465256651187,0.535354365046833,0.51311302784127
0.881053800226733,0.891428648094485,0.532353675838307,0.519168055774988,0.501162176452424,0.545823100766614
0.800610628079058,0.806926310273833,0.536482688918684,0.52600809511123,0.581464025100401,0.557567897663196
0.782170441419115,0.781433622617349,0.619048118078322,0.537748747658287,0.577340183967506,0.551648082721515
0.875235775156994,0.808206852494647,0.577970509401569,0.588132665409591,0.5902334586863,0.559912510184605
0.759443906892492,0.749506298692029,0.52511010589571,0.557918615415892,0.556951353620416,0.52677235729251
0.85322067778259,0.794420918134153,0.524980371066746,0.571618436370275,0.501359310330585,0.544281542259483
0.741698956194755,0.806836887278434,0.53925836651677,0.534416776200551,0.52409949022344,0.547976342938733
0.802080476433623,0.827016172000449,0.552663959141248,0.565037230181148,0.488197188220732,0.555599248744356
0.824444026380301,0.782881733823286,0.538233322596068,0.560222226762559,0.534883015042329,0.547206772466593
0.853527642002391,0.798191237774571,0.531633683498686,0.575401835818502,0.497043787658468,0.610196709155042
0.857156005370291,0.757463323713324,0.514529584172441,0.547775326525327,0.513484267055696,0.554721805971806
0.773577374862757,0.736651146148695,0.595918198486199,0.530803480742206,0.551050695397776,0.535793629482355
0.777718899995211,0.775723472911296,0.542708634947616,0.540829391555011,0.536044423262541,0.519801610068638
0.792500930961167,0.780252602671081,0.514493374398076,0.556572114479723,0.554602664725052,0.53762971730363
0.813280080426041,0.818096584787761,0.541164405339324,0.535958485958486,0.563461993148862,0.570887290813761
0.778196848706002,0.778520577325724,0.508382399525849,0.594743700947745,0.525047484086386,0.559070156083024
0.883183654126244,0.84850616869295,0.555985689835384,0.580125222797637,0.539804490250735,0.595184732253698
0.836987341807818,0.818702974585328,0.545233636841824,0.579470980311316,0.518863971831593,0.563622896711132
0.785991781131354,0.826064404990005,0.547640785964181,0.56400651516025,0.552299721091636,0.549461994457641
0.819992398668869,0.83398678001464,0.548119457573239,0.583373261651051,0.457107893662516,0.549299591986285
0.783706008092492,0.837561953225653,0.50096921349298,0.545552985384642,0.532972449227055,0.531459229195297
0.779220656636623,0.737596612081906,0.489234070746676,0.513815820325108,0.553658115002653,0.552390389604012
