,x,mean,SEM,CI95l,CI95u
0,1.0,0.48444444444444446,0.023585036623715472,0.4380936807443571,0.5307952081445318
1,2.0,0.5955555555555555,0.023161538649478574,0.5500370761060502,0.6410740350050608
2,3.0,0.5577777777777778,0.023438386670150087,0.5117152195807297,0.6038403359748259
3,4.0,0.6,0.02311971362558749,0.5545637176583498,0.6454362823416502
4,5.0,0.62,0.022906802560887334,0.5749821435699352,0.6650178564300648
5,6.0,0.6755555555555556,0.02209416207011157,0.6321347501694223,0.7189763609416888
6,7.0,0.7111111111111111,0.02139000967634638,0.6690741492921082,0.7531480729301141
7,8.0,0.7111111111111111,0.02139000967634638,0.6690741492921082,0.7531480729301141
8,9.0,0.74,0.020700429828876085,0.699318242884402,0.780681757115598
9,10.0,0.7333333333333333,0.020869493488717562,0.6923193219213946,0.774347344745272
10,11.0,0.7644444444444445,0.02002610411151485,0.725087913678119,0.80380097521077
11,12.0,0.7333333333333333,0.020869493488717562,0.6923193219213946,0.774347344745272
12,13.0,0.7888888888888889,0.01925929098532276,0.7510393464126945,0.8267384313650832
13,14.0,0.7911111111111111,0.019184621775458113,0.7534083131559165,0.8288139090663057
14,15.0,0.8155555555555556,0.018303594846813924,0.7795842058755754,0.8515269052355358
15,16.0,0.8266666666666667,0.017864180039482605,0.7915588819760431,0.8617744513572902
16,17.0,0.8377777777777777,0.017397883600105503,0.8035863875121697,0.8719691680433858
17,18.0,0.8488888888888889,0.016902480887598336,0.8156710944853586,0.8821066832924193
18,19.0,0.8644444444444445,0.016154891066654,0.8326958595099526,0.8961930293789363
19,20.0,0.86,0.016375330459611186,0.8278181940204802,0.8921818059795198
20,21.0,0.8888888888888888,0.014831303205911112,0.8597415001767471,0.9180362776010306
21,22.0,0.88,0.015335883071308199,0.8498609799208192,0.9101390200791808
22,23.0,0.8733333333333333,0.015696326313430434,0.842485948038976,0.9041807186276906
23,24.0,0.8844444444444445,0.015087160955335842,0.854794228356046,0.9140946605328429
24,25.0,0.9177777777777778,0.01296403526044227,0.8923000588094662,0.9432554967460894
25,26.0,0.9066666666666666,0.013728372115453503,0.8796868259285601,0.9336465074047732
26,27.0,0.9111111111111111,0.013430316263001726,0.8847170280551668,0.9375051941670554
27,28.0,0.9133333333333333,0.01327753730113286,0.8872395008842848,0.9394271657823818
28,29.0,0.9488888888888889,0.010393029768912569,0.9284638679473293,0.9693139098304485
29,30.0,0.92,0.012803117660409147,0.8948385261905711,0.9451614738094289
30,31.0,0.9311111111111111,0.01195231895723808,0.9076216792101255,0.9546005430120967
31,32.0,0.9377777777777778,0.011399861024037672,0.9153740701656518,0.9601814853899039
32,33.0,0.9555555555555556,0.009725535900804525,0.9364423345931753,0.9746687765179359
33,34.0,0.9377777777777778,0.011399861024037674,0.9153740701656518,0.9601814853899039
34,35.0,0.9511111111111111,0.010176478997821054,0.9311116690558628,0.9711105531663594
35,36.0,0.9555555555555556,0.009725535900804525,0.9364423345931753,0.9746687765179359
36,37.0,0.9577777777777777,0.009490295849286904,0.9391268650243966,0.9764286905311589
37,38.0,0.9688888888888889,0.008193539999327898,0.952786440440953,0.9849913373368249
38,39.0,0.9466666666666667,0.010604122500538835,0.925826793313448,0.9675065400198853
39,40.0,0.9622222222222222,0.008997725186893938,0.9445393396119537,0.9799051048324907
40,41.0,0.9577777777777777,0.009490295849286904,0.9391268650243966,0.9764286905311589
41,42.0,0.9622222222222222,0.008997725186893938,0.9445393396119537,0.9799051048324907
42,43.0,0.9577777777777777,0.009490295849286904,0.9391268650243966,0.9764286905311589
43,44.0,0.96,0.009247885450234998,0.9418254870633399,0.97817451293666
44,45.0,0.9666666666666667,0.008471388006036824,0.95001817423716,0.9833151590961734
45,46.0,0.9755555555555555,0.00728774080926317,0.9612332393536811,0.9898778717574299
46,47.0,0.9733333333333334,0.007603122608354665,0.9583912094339675,0.9882754572326993
47,48.0,0.9733333333333334,0.007603122608354665,0.9583912094339675,0.9882754572326993
48,49.0,0.9777777777777777,0.006956497829572522,0.9641064406404648,0.9914491149150907
49,50.0,0.9822222222222222,0.006236205872652561,0.9699664471136195,0.994477997330825
