MF_1,MF_2,MF_3,MF_4,MF_5,MF_6,MF_7,MF_8,MF_9,MF_10,MF_11,MF_12,MF_13,MF_14,MF_15,MF_16,MF_17,MF_18,MF_19,MF_20,MF_21,MF_22,MF_23,MF_24,MF_25,MF_26,MF_27,MF_28,MF_29,MF_30,MF_31,MF_32,MF_33,MF_34,MF_35,MF_36,MF_37,MF_38,MF_39,MF_40,MF_41,MF_42,MF_43,MF_44,MF_45,MF_46,MF_47,MF_48,MF_49,MF_50,MF_51,MF_52,MF_53,MF_54,MF_55,MF_56,MF_57,MF_58,MF_59,MF_60,MF_61,MF_62,MF_63,MF_64,MF_65,MF_66,MF_67,MF_68,MF_69,MF_70,MF_71,MF_72,MF_73,MF_74,MF_75,MF_76,MF_77,MF_78,MF_79,MF_80,MF_81,MF_82,MF_83,MF_84,MF_85,MF_86,MF_87,MF_88,MF_89,MF_90,MF_91,MF_92,MF_93,MF_94,MF_95,MF_96,MF_97,MF_98,MF_99,MF_100,MF_101,MF_102,MF_103,MF_104,MF_105,MF_106,MF_107,MF_108,MF_109,MF_110,MF_111,MF_112,MF_113,MF_114,MF_115,MF_116,MF_117,MF_118,MF_119,MF_120,MF_121,MF_122,MF_123,MF_124,MF_125,MF_126,MF_127,MF_128,MF_129,MF_130,MF_131,MF_132
0.905393956515692,0.0158340942500457,0.684821605220117,0.380395966316019,0.827966265526018,0.476272700056306,0.883281208161326,0.639329025234375,0.705110106515275,0.402227087201385,0.435275810201286,0.0134745172058226,0.375928444642976,0.143921162908258,0.797362978459307,0.645156027937441,0.788386801051108,0.28236138291502,0.218352187929365,0.805591147396635,0.388639921183429,0.729264225347567,0.00544040169318677,0.788753269626071,0.763345940683693,0.0387496315640812,0.0959789320636201,0.00239604029098172,0.207277527255121,0.809470720435901,0.0244856933477503,0.785936201883297,0.710852194963943,0.780414662130875,0.706165746282133,0.357885318697388,0.756516714762178,0.429752639520408,0.565264002721919,0.217700448812743,0.180693732211558,0.872797939307342,0.170550063201924,0.428156407636746,0.0946058089042532,0.98392920594613,0.314835254362741,0.617599869895177,0.171973039925716,0.52206275424394,0.116712413615682,0.360262165427083,0.293496269251252,0.595882466723009,0.543188579611064,0.986356630100965,0.613218297588015,0.853660657236691,0.202425656859056,0.354635654894913,0.211575027605015,0.715636916076271,0.779982865716054,0.194391329414772,0.610106967615596,0.270142527107854,0.994000611875873,0.211085946254163,0.236580681386922,0.959739348713252,0.900200772593732,0.997324641173945,0.787889831002218,0.186651459436833,0.974027380849732,0.213648316664077,0.283723945841507,0.219521485335213,0.292989645434425,0.642041303434867,0.243479170367959,0.564002734780282,0.434650361480776,0.781138416137283,0.81814813780093,0.127202006897987,0.82138231520062,0.54479897669064,2.34580054739666e-07,0.000236699803824262,0.000343140417141744,0.00200416378880435,6.06945482656121e-05,0.0016645456997537,6.37822299228182e-06,0.000408809338542271,0.00139362423347239,0.00189044607560618,0.0215356101876499,0.000168852693212052,0.0108532577690085,0.00241817985505081,0.000211364681637484,0.00020831716764604,3.81713438773116e-05,0.00200170100870826,0.00166494635458161,1.7523188593112e-05,0.00125311120097511,0.000593247544578918,0.00055898643094035,0.000160784119766128,7.33779293848879e-05,0.00151101972266671,0.00382029534264824,0.000279318535073199,0.00483264174266179,0.00387782012726629,0.00148692580251745,0.000415481452625558,0.00542385919454921,6.38525339123872e-05,0.000844608283441687,7.33778677449855e-05,4.11486986219402e-06,0.00624462569930978,8.56357973050364e-05,0.00116113504997413,0.00115812998751195,5.37946705693732e-08,0.00806762159745602,0.027044615672614
6.86826124706156e-05,6.42862267260006e-05,3.04581727234181e-06,0.00100626054881315,0.00212365855212659,7.01473272374508e-05,2.38176361446829e-05,0.000238781647240806,3.11299806364713e-07,7.83787404904532e-07,6.83837786908538e-06,1.30739184177369e-05,0.000272460167013473,0.000147967893800349,7.17188988925236e-05,0.000180572429850587,9.65440107413438e-05,0.000472600573067445,1.65584420796513e-05,0.000489672560016969,0.000417009559152406,0.000157186561352958,0.000178558778423992,0.000137570815744507,6.09427034971419e-06,1.93386680447304e-05,0.00012683819669197,2.4233444340583e-05,0.000149512373956847,5.566148158873e-06,2.4689060154747e-06,6.22089404292854e-06,0.000183391170164338,7.62216728679033e-05,0.00238828130108485,1.79147684083886e-06,0.00964719135039114,0.000322533183499822,2.08606332522011e-05,0.000925775098317791,0.00299261312819485,0.00609140859978274,0.000863284940384653,0.000219821005343792,0.999654995337549,0.99844964259469,0.99950754599895,0.998942762106296,0.997859706132416,0.997688914841523,0.997755068121824,0.993017759984172,0.999919899711674,0.999961873824101,0.999096615035908,0.998348978124589,0.999125750823648,0.996791767509853,0.999871745341665,0.998405507677209,0.99885071650366,0.999244403133755,0.997920647900557,0.998654383192252,0.998695358909549,0.999638643314713,0.99912537059768,0.996846300873579,0.999757106894383,0.99975324930948,0.999056160006416,0.999568424188836,0.99972217415987,0.999737301912473,0.999644235579934,0.999842596792919,0.99952851504341,0.998372209909331,0.997568586196542,0.999135777355085,0.990158731457734,0.999333546797276,0.999356222418827,0.993338732320709,0.99668521597165,0.993768315830729,0.99885766512184,0.995818132957584,0.000276322049980862,0.00148607117858391,0.000489408183777223,5.09773448905123e-05,1.66353154575318e-05,0.00224093783123921,0.00222111424203103,0.00674345836858756,7.97889885200199e-05,3.73423884943795e-05,0.000896546586223217,0.00163794795699317,0.000601789009338322,0.00306026459634639,5.65357594420345e-05,0.00141391989294059,0.001052739485599,0.000282996293177488,0.00206279365736312,0.000855944247731365,0.000887631531298309,0.000204170123934391,0.000696070623895615,0.00301612831067687,0.000236798835266998,0.000227412022475608,0.000817001796892185,0.000407342366823905,0.000128313466172907,0.000257131939368651,0.000353295514050494,0.00015118231303759,0.000288093786426137,0.00155156841780127,4.31325023729535e-05,0.000862431168074157,0.000194077191874744,0.000343920019224477,0.000622916947920547,0.00573549258097327,0.000322170900155065,0.00014027556948796,0.00027904993777511,0.00396204603707196
5.06691158282573e-06,2.42502708090979e-06,2.94332322048871e-07,0.00145901435042519,5.15322638812076e-06,1.51520520726985e-06,1.05893262788522e-08,5.20820567591931e-06,1.19679238499892e-07,9.986504621058e-06,8.62555572819955e-07,2.17737447895103e-05,6.37343616994378e-07,6.62724444933131e-05,0.000238054079674947,1.69193263895049e-05,0.000275784841792968,0.00052483736515906,0.00356085248298453,2.53946810275529e-06,1.34509403924059e-05,3.41274392300647e-05,5.86147262692761e-06,0.000405190839517996,6.93794144733054e-05,1.26634493452985e-06,5.76857678578813e-06,8.55002323241414e-05,0.000121712264030229,7.28128803713918e-06,3.72275310433528e-05,4.60825705172509e-06,4.85379295143728e-05,2.27716816718614e-06,0.0119198812898653,0.00114955384300668,0.00131046518903499,6.96023344516377e-05,8.12657813380525e-05,0.000312133538249401,0.0049678834026624,0.00594316976699297,4.41799912556388e-06,1.36511474438627e-05,0.988745708332984,0.985134128642968,0.99905915369061,0.935490349529476,0.999093844404114,0.994767809798047,0.999860474415487,0.998988970584878,0.998637131913483,0.992193268072855,0.997719603933126,0.973169601739339,0.997368022284109,0.970547469164452,0.973887973091975,0.974495669897158,0.987467992045643,0.97712169800492,0.841398908822881,0.9992564322744,0.999169502230619,0.98757267140725,0.998875251841843,0.966616707643502,0.993919509289071,0.999267981194574,0.967492195319905,0.960608892490143,0.975934299927499,0.9951156019151,0.992130857718186,0.996795763019253,0.990626376994753,0.9974907807453,0.0348750116877681,0.946867784970471,0.948398045340088,0.975431896535149,0.990365114310545,0.885557153898034,0.455682095141627,0.0308965739440781,0.985284771011779,0.993036944162515,0.0112492247554327,0.0148634463299511,0.00094055197706742,0.0630506361200987,0.000901002369497623,0.00523067499674604,0.000139514995186678,0.00100582120944605,0.00136274840727864,0.0077967454225235,0.00227953351130162,0.0268086245158716,0.00263134037227371,0.0293862583910546,0.0258739728283501,0.0254874107764528,0.0122562231125645,0.0223534646299211,0.155040238694134,0.000741028257497729,0.000817046828989086,0.0123932011535203,0.00111888668552959,0.0329781015169803,0.00601111129645604,0.000730752460491218,0.0325020361033087,0.0393056072775331,0.023943987808471,0.00487711679686292,0.00783191475077068,0.00319962872369508,0.00932508507573229,0.00250694208653239,0.953205107022367,0.0519826611865227,0.0502914894708771,0.0244985011304,0.0095536199081172,0.114130712563716,0.539350021455711,0.963160256288929,0.0147108109890949,0.00694940469004122
1.20110452236837e-05,3.2624762874388e-07,4.55474646068148e-05,0.00188590218177275,2.14351877577429e-06,1.02043234913149e-05,1.54648665003032e-06,4.34724057151398e-05,6.58610531011008e-06,7.28456518967495e-05,8.29195078071348e-08,3.49012894744941e-05,1.18728504735257e-05,1.80241088024904e-06,0.00351380239058163,0.000165844860874527,1.4694044914602e-06,4.49238883733302e-06,8.96441045781345e-06,2.91723568563916e-05,5.24938806349082e-05,3.85377113589531e-05,0.000127834449971454,1.03990822370752e-05,0.000241997949839585,1.91248538920032e-05,8.47084904709656e-05,9.13644164231825e-06,1.02983795104366e-06,0.000136238143811243,5.60843218983797e-07,5.52813637190807e-05,4.9795464686276e-07,2.18120987955395e-06,0.0226488809830789,6.23505565891658e-08,0.0105114493095144,2.39202722418176e-08,2.4486041379274e-05,0.0011764399288498,0.0117411235969876,0.000486955097825348,3.8642548568664e-05,1.0017844185898e-05,0.996562454683146,0.999904433898533,0.99404103701323,0.93161107169766,0.999598064626805,0.993465804826459,0.998875330310992,0.976537643752503,0.993084548560403,0.996092624413681,0.997792462417755,0.991237224227072,0.998256638435723,0.999080641923838,0.918494355383831,0.949204586206527,0.999327018605451,0.998775484744518,0.99702608308546,0.991948659695909,0.979008121586107,0.993143465980558,0.981557028908894,0.996697925295473,0.989838388478212,0.986980618099557,0.965775120003375,0.997933596265836,0.99969201560856,0.980515118059287,0.999567278598175,0.992545744481291,0.999732041964961,0.997256249478517,0.529158215581224,0.99995573516693,0.630813435847974,0.999824461213565,0.995524439839645,0.956820979703109,0.852247110901268,0.031003846369694,0.979764650784655,0.99151541440313,0.00342553427163018,9.5239853838152e-05,0.00591341552216302,0.0665030261205668,0.000399791854419553,0.00652399085005011,0.00112312320235804,0.0234188838417816,0.00690886533428707,0.00383452993442205,0.00220745466273731,0.00872787448345338,0.00173148871380304,0.000917555665281857,0.0779918422255869,0.0506295689325985,0.000671511990057443,0.00122002286664485,0.00296495250408238,0.0080221679472352,0.0209393845332584,0.00681799630808325,0.0183151366411345,0.00329167562228973,0.0099196135719479,0.0130002570465515,0.0341401715061537,0.00205726729252182,0.000306954553489267,0.0193486437969018,0.000432160558605769,0.0073989741549905,0.000267460080391555,0.00274156931160341,0.448192903435698,4.4202482513508e-05,0.358675114842511,0.000175514866162602,0.00445107411897579,0.0420025803680407,0.136011765501744,0.968509198532481,0.0201967066667764,0.00847456775268423
0.000101673994471152,1.09752008757702e-05,1.69420559527675e-05,1.39021810801079e-07,4.55135196285776e-05,8.42723021755363e-07,3.32640017962026e-06,1.06064363494234e-07,1.2202383966865e-06,2.46344282528608e-05,0.000205593358787294,1.02719044078384e-06,3.47542787759299e-07,7.82596163844905e-05,2.18312905218476e-06,5.71058035042061e-06,1.50139818499258e-05,1.28692012730645e-07,2.28945713069172e-06,1.52106272640871e-05,0.000179060367819547,1.98115595349863e-06,2.06683608599656e-07,7.61324468758404e-06,7.41905243744475e-05,9.29110046635303e-07,5.94743851700926e-07,5.5483449780297e-07,1.80347763194691e-06,0.000240491789341628,1.96477191042013e-05,7.89994092441448e-06,0.000139792161635145,0.000275434513408294,0.000849975667020339,0.000186612516018126,0.0001607406945244,7.19123544808427e-06,0.000754752913633527,5.01700663583994e-06,0.000225226285622862,0.0229823134428723,0.000916907161499881,2.11342529323186e-05,0.992036993274183,0.999683357748291,0.994428098800074,0.9996834846761,0.996491937539533,0.999547311094396,0.999294555624499,0.999953614889577,0.998617227539984,0.988360049091675,0.955163849104586,0.998244088662769,0.999924070029648,0.995712565315085,0.998173124378119,0.999598148306265,0.998444264164292,0.99991860335893,0.999104539684424,0.996492322797875,0.988812066049393,0.998407503146853,0.99978916204191,0.998693942902138,0.988334937612949,0.998905047318094,0.99941267897676,0.999220167467938,0.999301235434324,0.985134920821735,0.99816578222343,0.998725149956198,0.992792540220316,0.983426873855472,0.977045169140066,0.992223492404856,0.968320294886574,0.999509394436452,0.982063722232649,0.997542122669894,0.989369746429176,0.0111776786826455,0.97612824561883,0.996202355660457,0.00786133273134527,0.000305667050833569,0.00555495914397347,0.000316376302089136,0.00346254894083858,0.000451846182582785,0.000702117975321204,4.62790460589197e-05,0.00138155222161954,0.011615316480072,0.0446305575366269,0.00175488414679052,7.55824275640042e-05,0.00420917506853037,0.00182469249282858,0.00039614111338418,0.00154072185385836,8.12679490574808e-05,0.000893170858445224,0.00349246657486067,0.0110088735827876,0.00159051569719321,0.000210631274481489,0.00129844385317435,0.0115908718626769,0.00109402357185923,0.000586726279387949,0.000779277697564249,0.0006969610880442,0.0146245873889237,0.00181457005746626,0.0012669501028782,0.00706766761804828,0.01629769163112,0.0221048551929133,0.00758989507912624,0.0315189644189017,0.000483414328100263,0.0171815248537175,0.0024528603234706,0.0104050272852008,0.965840007874482,0.0229548472196701,0.00377651008661065
3.83557831809669e-06,1.22348969990093e-05,4.30943266044319e-06,3.18893400565577e-05,1.44010893535693e-05,1.06924894817676e-07,6.33272088612218e-08,2.39522589750899e-08,7.03841194563917e-07,6.48430140454124e-05,1.53506460477234e-05,1.51561873076774e-05,0.000929547637686116,1.10619141933873e-06,1.74085925009744e-05,1.20350454176585e-06,0.000176275256295248,1.96756178101801e-05,2.78575920649921e-06,2.77660922629539e-06,3.73076636448921e-06,5.49437775750705e-05,0.000544679244294546,1.24236666099673e-05,0.000576947525149597,4.35494161850474e-06,4.07898210743734e-05,9.45663395736218e-06,1.29825969945158e-05,0.000473514579931399,7.14355218134092e-05,3.23327735707204e-05,3.39615917560714e-06,9.73596525673231e-07,4.61301089477004e-05,0.000194359571852763,0.000291707052809596,2.88954285396943e-05,3.66410963824162e-06,4.51385887703785e-05,NaN,NaN,2.11600969959281e-06,8.9357611189827e-06,0.453851130490938,0.886937451119566,0.838390714514611,0.793796128814423,0.862987628482225,0.978232771157596,0.991946645027663,0.984833199564689,0.448976758026859,0.390571146472089,0.839689541763585,0.768517950005895,0.746830890207058,0.95097427239852,0.72919541233581,0.936244620527052,0.781617064958017,0.430904627951975,0.973587527534488,0.253779372970345,0.758475991447071,0.691250953470244,0.737080844645839,0.662290118096562,0.744252378073182,0.454530265180386,0.335358593290951,0.730085828694981,0.687992609616253,0.940976745277987,0.54776373436609,0.777335408283646,0.358376056608054,0.863135871107476,0.829827588148792,0.928195960954064,0.797366493744825,0.524631856654226,0.76114302088454,0.398242744308566,NaN,NaN,0.528294310076937,0.17714181575832,0.546145033930744,0.113050313983434,0.161604976052728,0.206171981845521,0.136997970428421,0.0217671219175093,0.00805329164512749,0.0151667764830518,0.551022538131947,0.609364010513866,0.160295107590367,0.231466893806797,0.252239562155256,0.0490246214100609,0.27078717907169,0.0637541759684065,0.218206659785688,0.569075696430215,0.0264096867063058,0.746217850420429,0.241520277786564,0.308694102752181,0.262374476109867,0.337697458236828,0.255170674401668,0.545465379877996,0.664600616887974,0.269904714671061,0.311994407786753,0.0585497401420818,0.452164830112097,0.222632258942783,0.64162054723277,0.136863155295998,0.17012628174226,0.0716096794740833,0.202341799202366,0.475339247917234,0.238853315005822,0.601712117102663,NaN,NaN,0.471703573913363,0.822849248480561
9.62052625991814e-05,6.08204324444293e-06,1.79267763182303e-06,0.000896021495511124,4.11236844225204e-05,1.79736195566026e-06,5.88254843836036e-07,9.28714357875483e-06,4.08049806943965e-05,4.1925947158035e-05,0.00110293573891176,1.41750638242532e-06,2.25859962505429e-06,1.77055854497816e-07,1.13197461458585e-06,1.4514096920595e-05,1.2628427529288e-06,3.07888538968154e-05,8.12938099598008e-05,1.0241576197651e-06,7.64933131811651e-06,1.1021732770691e-05,1.65452572641423e-05,9.90210496829666e-06,7.79191685768958e-07,2.56342831223617e-05,3.59327797778636e-05,5.7968382323655e-07,8.96456218931402e-06,1.91619486761064e-05,1.53036006991575e-05,0.00843763555370803,3.44750387114366e-05,2.34492404183671e-06,6.6773792978031e-06,2.13371599078043e-06,8.38030479426629e-05,0.000116272992085285,3.98442761812893e-06,1.37964122624645e-05,NaN,NaN,3.99682945970656e-07,4.17684221052584e-06,0.136860817106889,0.34220328483479,0.046002709991144,0.403165340549447,0.0182356327980618,0.0203729895210406,0.358718846237543,0.0351546764575634,0.109601118063988,0.062476355357094,0.226246712536133,0.168511109839818,0.0945675894909814,0.0454982950707756,0.0960872452591398,0.231242566745179,0.0769934112722971,0.0309305891497229,0.581406481218665,0.0226933248501552,0.25902248969787,0.272895702514985,0.257556929032012,0.0769015206332656,0.00808809709860638,0.0243281569061444,0.277273979573882,0.317647602183414,0.0276192919544066,0.0410213100134924,0.234156246892128,0.38589510064285,0.128214944608176,0.544117970580334,0.0968353323217497,0.0369345972009918,0.0260208400402847,0.25516068664626,0.0277920416829948,0.0216974964345456,NaN,NaN,0.0214917229212245,0.0376531620341539,0.863042977630512,0.657790633121966,0.953995497331224,0.595938637955042,0.981723243517516,0.979625213117004,0.641280565507614,0.964836036398858,0.890358076955318,0.937481718695748,0.772650351724955,0.8314874726538,0.905430151909393,0.95450152787337,0.903911622766246,0.7687429191579,0.92300532588495,0.96903862199638,0.418512224971376,0.977305650992225,0.740969860970812,0.727093275752244,0.742426525710724,0.923088577261766,0.991911123709708,0.975646208810733,0.72269008764634,0.682351818132763,0.972371743483404,0.958959528037832,0.765828449507173,0.605667263803442,0.871750580353112,0.455879684495625,0.903157990298952,0.963063269083017,0.973895356911773,0.744723040361655,0.972203973889387,0.978288707153192,NaN,NaN,0.978507877395829,0.962342661123636
2.62196169377269e-06,2.13146747772042e-06,5.66469827060939e-06,3.79895486803193e-06,5.5186554167262e-06,1.55037689777911e-05,0.000106325193931231,2.33252102034528e-06,2.69421643901461e-06,2.97949245461932e-06,4.36140157120487e-06,1.36653888525387e-05,4.99443780681285e-05,1.81777990267004e-06,1.45671746488205e-05,5.14310139049535e-07,2.26823996306059e-06,0.000157384702004322,1.40129660997478e-05,4.80177776634059e-06,9.0139720882797e-06,3.29610170540637e-07,1.77227725405624e-06,1.27704338997089e-05,1.44767934969387e-06,3.67197348589195e-06,6.11035633231305e-05,6.03786724313153e-06,9.26419046876558e-08,1.89577905715411e-06,1.85220283685163e-07,3.49189590253125e-05,8.88583889496354e-05,6.29565184467079e-05,1.00257990729208e-07,3.83547637680987e-06,6.68972147691188e-05,2.0013174963504e-05,2.25992658669596e-07,1.39759957368074e-05,NaN,NaN,NaN,8.89935164032939e-05,0.797264863610438,0.442805442886503,0.649279619293253,0.430701035628127,0.680501348030841,0.931161882004486,0.723860125828349,0.241947692437403,0.955069889866293,0.835919265243141,0.201192944335889,0.821594891104956,0.805296547345469,0.386006990475728,0.870432224963169,0.994387243434222,0.724700482599737,0.487678326224995,0.133123164902105,0.11266713891991,0.564467716405882,0.106699304700003,0.123155860649099,0.697851107287594,0.447288966459726,0.943681654729151,0.791226628764846,0.463583784334348,0.306076529858238,0.803982747458904,0.157407914746806,0.774022068152862,0.697833279552741,0.737584010401999,0.464246477734247,0.0523114272839325,0.43068333407684,0.192900132299711,0.946575019192412,0.194774255291505,NaN,NaN,NaN,0.688111378373001,0.202732514427868,0.557192425646019,0.350714716008476,0.569295165417005,0.319493133313743,0.0688226142265359,0.27603354897772,0.758049975041576,0.0449274159172677,0.164077755264405,0.798802694262539,0.178391443506192,0.194653508276463,0.613991191744369,0.129553207862182,0.00561224225563873,0.2752972491603,0.512164289073,0.866862822131795,0.887328059302324,0.435523269622029,0.893300365689826,0.876842367073647,0.302136122278507,0.552709585860924,0.056314673297363,0.208712267671831,0.536410177798409,0.693923377499857,0.196015356762039,0.84259190003291,0.225943012888113,0.302077862058309,0.262353033079554,0.535753422007763,0.947684737239691,0.569249768708391,0.807079854525326,0.0534247548149298,0.805211768712759,NaN,NaN,NaN,0.311799628110596
2.48518310819304e-06,2.5998072827248e-07,4.99017795330993e-07,0.000292893254014621,5.38241594572017e-05,2.68290895576716e-05,0.000120377598337284,1.52617428018042e-06,2.36607175897782e-05,5.6048411338516e-05,3.46085833619246e-06,1.57415058189874e-05,9.05903910520907e-06,4.09763628664139e-05,1.62277858093005e-06,0.00043532057879108,8.28679247726874e-05,0.000294436982726306,1.35464559385342e-05,2.55287158903292e-05,6.79741442673436e-06,1.55371773091653e-05,2.88483599592008e-06,6.16732810080763e-06,1.46243044465855e-07,9.02725994731987e-07,1.05790328401285e-06,5.67967925043599e-06,1.76532844786653e-05,3.94474816302976e-06,2.59551672691138e-06,7.60193045779771e-07,9.26820781838586e-05,4.9089652643617e-06,NaN,5.68634948855691e-06,3.15220946788677e-05,1.94284563781462e-05,2.70788263818889e-05,2.03705790482412e-05,NaN,NaN,NaN,3.14134841058456e-07,0.0550922181025267,0.0282901302622623,0.249230079005325,0.131199170313443,0.0354061655660178,0.623633882740565,0.302638687146603,0.413125217664352,0.195378668430702,0.084681274094648,0.203499175379902,0.229162822958487,0.0172392553450974,0.362634625015595,0.0239570356000667,0.213487630723102,0.469756626102498,0.468518118990023,0.298810762761381,0.0364061317296391,0.0564121362510405,0.120717871369686,0.315092549960049,0.099082393425668,0.0274177585946235,0.865485515799607,0.0594970599310181,0.556346976745981,0.126187943804043,0.0661918478876584,0.016613277671379,0.314953473212892,0.456251464074473,0.451178834122795,NaN,0.121441112258226,0.155270384078127,0.0624432633228469,0.294844734647364,0.0611979336746332,NaN,NaN,NaN,0.42803483984673,0.944905296714365,0.971709609757009,0.75076942197688,0.868507936432542,0.964540010274525,0.376339288169877,0.69724093525506,0.586873256161368,0.804597670851709,0.915262677494013,0.796497363761762,0.770821435535694,0.982751685615798,0.637324398621539,0.976041341621352,0.786077048698107,0.530160505972729,0.53118744402725,0.70117569078268,0.963568339554471,0.943581066334533,0.879266591453005,0.684904565203956,0.900911439246231,0.972582095162332,0.134513581474399,0.940501882165698,0.443647343574769,0.873794402911478,0.933804207364178,0.983384126811894,0.685045766594062,0.543655853847343,0.548816256911941,NaN,0.878553201392285,0.844698093827194,0.937537308220775,0.705128186526254,0.938781695746319,NaN,NaN,NaN,0.571964846018429
1.5640198663598e-06,1.49097196538567e-07,6.64726791349253e-07,0.000870621685411557,7.49623680471813e-07,4.46055483540827e-05,4.62486431701191e-07,1.65956449080701e-05,1.2933091020151e-05,4.33151439246155e-05,6.05898924998973e-08,2.79061873049815e-05,2.81772431043387e-05,2.62539738006686e-06,0.000113980784413304,1.64745511607105e-06,1.64415377784974e-05,3.22991871924689e-05,4.2376230060459e-05,1.33092136581901e-05,7.71425843207116e-06,1.99111757214284e-07,7.52103834764012e-06,5.67878287014797e-07,0.000118358492722891,2.73600957527216e-05,3.68417452276966e-05,3.81796957503241e-05,8.84862987600216e-07,0.000144912127818132,8.95812230668351e-06,9.42592490300366e-07,1.73941465446806e-06,8.02489273087003e-08,NaN,5.60851964118075e-08,NaN,NaN,4.55767130684242e-06,1.51158551648479e-05,NaN,NaN,NaN,4.690624042301e-06,0.0233305929037959,0.00322028965164688,0.0232559840603655,0.0987706285233693,0.00371136734677956,0.162632334808531,0.0244295220614639,0.00644977416587601,0.00904910899880441,0.192361451321362,0.00183398179894695,0.00824900794327828,0.602678598408375,0.00509411227314285,0.0920585038086939,0.00300620554209103,0.131654809320017,0.0206559624745443,0.256889041928721,0.00815729151584581,0.0077690239354563,0.00540074911020184,0.112561713491298,0.0257360819841435,0.527401654711216,0.0775055373397466,0.0254182562433667,0.0184728361549776,0.0235041819841969,0.118300454521306,0.0167811453001944,0.00297355519378244,0.00410716195639616,0.00323564726077997,NaN,0.00519840789943188,NaN,NaN,0.00688767191362068,0.00849371580029697,NaN,NaN,NaN,0.0379950111770948,0.976667843076338,0.996779561251157,0.976743351212843,0.900358749791219,0.99628788302954,0.837323059643114,0.975570015452104,0.993533630189216,0.990937957910175,0.807595233534713,0.998165957611161,0.991723085869417,0.39729322434852,0.994903262329477,0.907827515406893,0.996992147002793,0.868328749142204,0.979311738338263,0.743068581841218,0.991829399270496,0.992223261806112,0.994599051778041,0.887430765470354,0.974263350137569,0.472479986796061,0.922467102564501,0.974544902011406,0.981488984149272,0.976494933152816,0.881554633350876,0.983209896577499,0.997025502213727,0.995891098628949,0.996764272490293,NaN,0.994801536015372,NaN,NaN,0.993107770415072,0.991491168344538,NaN,NaN,NaN,0.962000298198863
