vv,ls
0.0913567111464793,0.609347442680776
0.0643971193048587,0.769753086419753
0.0837195443324302,0.613168724279835
0.135055521040243,0.534979423868313
0.0702134605805475,0.584362139917696
0.0711208224943471,0.632275132275132
0.108193171808493,0.599326599326599
0.0500029745302722,0.653371320037987
0.0687362908748696,0.674603174603175
0.0596999113845724,0.520576131687243
0.0637531944302364,0.633428300094967
0.0793873647698807,0.661265432098765
0.035754844811074,0.674897119341564
0.112699368878479,0.593542260208927
0.061769554455683,0.70216049382716
0.0738459432917279,0.538720538720539
0.0516757427462017,0.640329218106996
0.0681404051341172,0.652263374485597
0.0819090602502913,0.705603038936372
0.0845964484159445,0.62962962962963
0.0490910496831384,0.593621399176955
0.0390789280863591,0.653371320037987
0.040941916361831,0.699845679012346
0.0549756539698094,0.686067019400353
0.0387002458401589,0.644824311490978
0.0700015027262049,0.662551440329218
0.0975799868126234,0.733024691358025
0.077682269839388,0.616255144032922
0.0749005834544689,0.631687242798354
