L_8s,L_4s
27,32
38,21
59,21
22,15
9,9
35,23
45,25
80,39
17,31
52,51
61,22
24,38
53,15
34,48
19,13
25,9
37,17
29,28
31,29
52,16
16,15
23,44
11,30
23,11
30,12
25,19
43,22
45,8
17,11
32,21
58,42
11,20
24,13
24,23
10,10
18,15
28,35
24,19
44,24
53,77
10,26
16,30
46,20
45,14
32,13
26,28
31,13
25,35
41,24
10,10
36,11
29,20
38,45
18,32
19,18
60,23
55,18
25,30
77,33
31,22
9,10
36,14
23,12
46,15
33,49
18,18
20,30
37,20
14,11
29,21
15,30
34,13
39,9
36,37
21,44
23,25
11,10
54,14
55,23
10,10
30,17
49,19
31,16
35,39
20,27
12,14
28,11
24,37
71,26
24,18
19,27
33,22
35,40
19,18
11,8
18,25
20,24
32,40
36,15
21,45
16,25
28,40
19,15
23,22
57,10
10,34
58,48
69,14
28,29
24,16
41,16
30,27
9,23
16,18
10,36
28,13
20,21
9,8
47,18
23,29
39,33
24,29
49,12
25,64
23,25
16,13
31,17
50,28
27,17
32,52
13,14
67,38
30,16
26,23
29,16
54,24
44,28
80,33
20,20
9,11
68,37
19,24
32,19
30,22
50,21
16,22
22,20
16,22
23,79
24,11
8,9
15,24
12,28
19,23
15,22
23,31
56,17
20,25
13,19
21,11
30,16
25,17
27,9
28,26
21,32
26,23
19,10
19,19
23,21
9,8
16,46
30,24
16,12
44,19
21,13
38,9
15,12
22,12
18,24
32,16
51,20
52,14
33,27
38,31
8,9
39,20
36,19
25,21
15,13
23,18
15,24
36,29
30,28
36,48
45,23
8,8
35,19
12,9
40,32
36,16
20,31
26,21
20,38
15,12
40,20
21,20
42,20
8,50
23,10
44,20
23,18
20,9
12,28
28,20
8,9
17,48
56,27
18,52
45,17
34,12
13,14
67,16
27,29
36,25
27,45
29,21
29,17
53,29
17,35
10,10
19,47
43,18
80,9
38,13
45,46
57,25
25,22
15,14
19,18
32,13
36,22
16,14
31,15
15,35
24,41
34,13
17,12
39,18
24,34
28,53
33,15
72,14
8,37
20,29
23,21
25,19
27,12
15,23
27,28
8,8
16,14
58,10
17,14
26,11
47,14
26,34
28,33
26,27
56,15
25,30
19,18
28,34
23,16
15,35
10,10
35,24
16,11
51,24
41,37
55,26
11,10
33,49
21,30
32,33
39,31
9,8
35,24
9,11
30,47
25,16
18,36
67,31
14,19
40,19
59,10
15,27
40,28
56,29
31,34
18,21
23,19
11,11
80,13
38,26
9,37
36,18
25,12
31,23
43,36
46,20
12,11
15,28
13,18
40,30
30,13
63,35
38,37
21,44
15,19
10,10
34,12
16,9
23,25
36,22
38,22
15,26
62,65
17,13
34,12
28,13
9,8
43,17
12,9
51,31
44,16
21,43
20,18
26,17
17,27
10,19
28,18
80,37
8,8
20,22
47,32
27,34
11,14
28,25
43,26
10,10
15,26
76,36
48,13
28,34
23,21
13,25
15,18
27,23
20,22
40,18
60,25
48,17
24,24
24,24
9,8
32,25
28,26
48,27
16,14
30,30
25,26
26,35
17,13
29,22
25,11
10,9
14,27
15,15
44,20
25,22
35,23
26,44
33,10
14,38
24,20
15,14
57,31
9,8
37,21
22,30
25,20
45,19
24,12
22,20
8,8
18,17
27,19
34,34
32,12
30,25
16,12
61,48
16,25
25,15
55,13
80,25
31,23
37,16
17,46
8,9
50,32
27,24
42,9
16,26
20,22
24,22
37,28
44,47
35,12
30,13
28,8
80,79
30,20
19,36
23,22
24,35
39,40
11,24
11,34
31,12
15,65
51,50
8,9
18,21
33,23
25,23
23,18
18,32
25,54
9,9
15,15
9,29
42,63
34,22
21,24
11,60
45,15
24,42
52,16
24,22
28,29
33,33
17,45
17,12
11,9
43,14
19,23
50,42
29,13
36,52
23,17
28,41
17,20
19,24
65,18
8,54
45,14
10,10
37,14
71,34
17,15
45,28
50,13
11,29
9,11
17,11
22,30
8,8
37,19
20,23
56,47
12,26
37,23
32,17
10,8
42,18
43,18
17,13
51,32
43,30
15,9
37,12
25,11
18,28
24,29
27,27
36,53
32,34
23,29
9,9
35,18
25,12
50,20
16,28
30,20
14,22
26,40
16,23
13,20
18,20
25,10
17,13
21,71
31,21
23,24
36,31
22,24
37,20
52,15
31,18
16,12
61,80
8,8
22,11
25,17
77,49
22,22
15,14
27,25
8,22
15,17
37,20
14,12
21,22
29,11
12,9
17,11
13,27
20,14
23,34
28,38
39,38
18,26
18,25
9,9
46,23
16,11
70,27
17,25
38,17
18,16
26,44
14,28
54,12
18,21
28,10
37,21
14,22
52,29
22,15
54,38
21,47
22,28
13,17
37,10
31,29
23,18
8,28
27,28
18,18
28,40
19,12
22,11
32,22
10,10
18,25
32,20
17,15
27,14
41,11
19,16
17,9
23,24
56,19
37,20
28,45
31,17
17,16
21,18
9,8
61,19
19,19
54,17
18,22
36,31
36,22
21,24
21,39
17,30
15,15
9,10
14,16
59,19
42,28
22,22
31,32
50,12
74,49
11,10
9,41
76,14
37,14
32,57
18,25
26,41
41,41
26,20
15,20
23,28
9,8
34,31
35,25
43,9
29,29
25,24
13,59
15,10
44,26
27,18
17,24
52,27
62,62
35,50
58,33
10,11
55,35
77,19
36,21
18,18
20,19
17,44
37,25
15,25
41,32
64,23
37,10
17,14
33,15
60,21
22,16
80,36
80,57
35,12
13,14
11,11
17,65
18,13
23,9
18,18
21,25
32,28
54,27
28,36
24,18
9,25
13,33
52,39
15,17
28,33
57,34
11,37
16,28
15,21
28,21
29,25
26,48
19,24
49,27
18,46
9,8
20,28
23,11
33,34
30,18
47,18
21,20
23,31
34,21
21,17
22,26
9,9
16,16
11,22
30,30
52,38
31,22
41,30
22,30
26,12
24,37
20,44
40,24
35,44
31,21
62,40
46,24
27,20
12,11
45,29
23,39
19,18
31,24
50,11
31,15
22,23
14,12
26,27
29,22
19,31
34,20
44,30
51,14
34,32
16,27
9,9
21,33
36,19
25,18
29,30
63,20
21,28
43,22
17,12
22,41
13,12
38,22
61,19
31,24
30,23
37,40
36,18
33,62
13,12
12,24
21,44
30,38
35,16
23,8
20,20
18,25
26,25
18,10
29,14
28,25
9,9
20,19
26,26
32,15
28,16
14,13
13,25
61,17
22,24
32,19
26,13
28,18
80,20
25,22
52,15
11,9
19,20
17,11
24,9
35,13
33,28
21,16
23,29
23,14
30,20
31,10
10,22
53,13
15,11
32,80
24,16
31,20
80,30
20,27
22,23
29,27
31,11
29,16
54,8
17,36
62,54
24,21
13,26
34,11
30,21
10,10
50,12
12,34
20,15
37,29
34,13
14,12
12,12
22,28
42,32
18,28
26,25
39,46
20,49
18,17
10,9
21,18
22,17
25,21
15,29
52,49
45,12
41,18
22,22
45,20
66,31
10,34
19,46
12,14
29,9
25,14
35,22
28,33
12,32
15,13
22,18
27,27
28,22
22,23
38,21
53,24
23,19
48,23
41,22
30,23
55,10
20,31
27,10
14,14
37,18
23,12
14,9
15,11
27,24
25,40
26,17
25,17
22,35
64,24
16,15
10,8
20,43
23,25
21,26
13,16
18,20
21,9
27,19
25,18
20,34
27,13
8,9
79,27
12,15
28,17
50,15
43,21
25,28
12,15
12,12
35,21
33,31
31,31
9,8
25,11
66,23
23,25
26,26
12,20
35,15
10,39
16,15
26,17
34,18
68,36
11,28
12,9
47,12
14,59
48,27
17,18
28,34
29,15
55,26
16,15
9,8
36,21
21,21
48,36
71,32
23,18
17,12
43,21
40,29
27,12
22,13
29,77
15,14
10,12
36,36
39,34
36,21
26,23
11,12
56,19
10,19
18,26
20,28
8,8
34,16
46,32
25,31
31,25
24,12
64,43
8,22
28,12
30,26
31,19
28,29
53,14
29,48
15,9
25,13
42,22
15,27
59,23
22,20
34,23
26,19
11,8
18,49
18,28
64,18
17,13
22,23
12,28
47,18
21,14
29,12
13,30
25,9
29,24
18,26
15,53
43,16
17,13
35,11
52,14
15,16
25,18
26,11
21,11
9,9
18,41
18,19
41,20
28,29
14,28
23,39
10,10
25,14
47,33
14,9
20,52
40,27
36,9
15,16
27,13
42,32
52,38
30,18
60,17
32,25
15,23
9,11
48,19
16,10
50,24
17,42
33,23
11,10
28,23
20,12
21,12
19,15
10,9
25,24
33,9
44,37
37,39
34,27
50,16
21,32
17,9
26,34
45,44
50,52
22,20
19,29
28,19
34,41
12,22
24,38
25,24
10,9
33,25
26,42
15,21
63,13
32,58
13,11
41,29
22,10
50,23
70,25
41,33
34,44
22,33
30,19
10,11
37,24
27,18
37,9
39,20
34,17
10,15
23,22
26,24
20,17
17,19
30,9
36,26
11,25
26,18
45,32
31,31
36,32
36,21
11,10
9,45
68,16
25,15
8,55
16,18
24,31
46,22
28,11
15,16
36,15
10,9
18,32
32,20
14,21
16,41
21,27
16,14
40,16
58,19
19,27
16,14
36,25
23,34
31,39
28,38
9,9
32,29
43,26
71,41
18,13
80,24
46,11
29,43
14,20
20,51
22,25
10,9
28,15
31,9
19,23
25,37
19,18
26,21
19,24
34,12
33,9
29,21
19,38
31,27
31,24
41,30
34,26
29,37
25,17
47,23
9,8
39,18
25,25
31,19
34,34
20,20
52,38
31,42
24,20
41,58
15,26
32,36
36,34
45,32
34,40
10,11
54,17
26,18
37,32
32,39
44,21
27,16
32,54
49,13
22,27
19,65
25,10
14,30
11,25
62,28
14,17
33,13
41,31
12,12
13,24
12,30
18,11
40,17
9,32
20,27
18,20
28,18
31,49
14,12
28,25
8,8
18,18
11,10
17,16
47,33
41,33
16,9
16,16
25,18
38,28
18,19
63,46
41,16
31,27
17,79
9,11
22,25
27,11
30,27
18,16
21,34
25,24
30,13
15,33
17,24
34,14
8,9
17,36
10,16
48,32
52,37
15,17
62,11
20,16
19,11
24,20
21,11
48,39
8,9
27,26
31,26
28,80
29,33
28,31
33,32
10,23
18,28
9,20
20,12
20,14
50,25
40,13
34,17
18,10
33,32
18,15
50,18
36,15
20,17
31,27
10,9
27,19
55,23
80,54
31,23
52,50
22,27
73,47
32,34
45,11
24,34
8,9
28,16
35,30
30,41
25,23
15,20
40,29
11,57
19,18
24,18
80,31
25,30
70,8
22,21
27,31
31,41
26,10
80,13
32,15
30,27
35,57
42,25
15,23
34,32
25,27
13,14
15,11
24,13
19,24
26,16
28,21
56,28
18,22
43,49
9,10
64,80
25,10
26,26
18,15
33,16
9,11
25,27
28,35
25,30
17,13
8,30
15,46
12,29
68,27
22,23
17,27
42,32
28,36
11,13
10,27
45,11
18,27
9,21
20,11
35,26
24,23
27,11
24,25
34,27
10,9
18,15
18,11
50,31
39,26
35,20
13,51
22,32
16,13
36,16
40,25
37,36
20,18
42,22
19,36
9,9
80,39
20,20
30,14
28,21
33,16
38,30
31,23
16,25
38,30
13,18
48,10
15,39
20,20
44,21
32,31
27,19
52,25
35,34
19,10
42,9
28,32
49,41
80,8
65,56
23,34
76,20
41,12
26,14
25,22
10,22
49,15
27,18
17,16
34,70
22,21
29,10
17,16
28,20
78,23
15,26
51,38
52,34
67,28
16,15
10,10
36,38
19,17
26,9
15,28
57,23
