LR_m1,LR_m2
0.33388546738505,0.404454664838934
0.233115728871454,0.114908391713142
0.544727443633288,0.447601106132373
0.164706758677108,0.258629978970315
0.589154999410505,0.634837448509621
0.251773359003869,0.645285404658492
0.496896386093107,0.526249368380073
0.17442295527346,0.606749370228433
0.254270464981255,0.705590767667088
0.179638043679507,0.761933710163089
0.602219423373289,0.318841700637882
0.119096101325878,0.0530837748710256
0.758563756050236,0.432823913537298
0.343089542866209,0.0928329132675472
0.246682394749417,0.362018663269057
0.259530849219224,0.154354160292973
0.518947626958063,0.549402270633118
0.113743847257597,0.678563206446502
0.190623082941398,0.0866482997067121
0.254526786739714,0.10305718220054
0.372401936241116,0.148041710626464
0.529354169366902,0.256929877493757
0.54895930785179,0.15498627825281
0.564561716982895,0.585957457499878
0.337003618932387,0.163812787066802
0.328983447030635,0.127517293750385
0.28840424629929,0.208487834439054
0.44088542194097,0.508910344906342
0.701164547951521,0.514911448995815
0.770742280653354,0.583128093756908
0.378688131121137,0.102684489886538
0.642070642725014,0.637843034224941
0.803408934439402,0.766136806912635
0.133962340827737,0.0687953192823651
0.347774843229398,0.185168044118604
0.285878995528186,0.132655263466581
0.182104318431827,0.544865363670281
0.111955029065318,0.0598257671772663
0.279996014522839,0.232447105206966
0.289061036416683,0.17012045859987
0.557642983358037,0.412334003790066
0.212063073593582,0.17312323977566
0.160282473737704,0.0893939075834393
0.161880203437431,0.0893050277402198
0.524768298122671,0.477326188858042
0.176454686632061,0.100420091065873
0.574704570697369,0.252352897201939
0.0918228952386245,0.0490448489326452
0.1365186125134,0.0709036150526682
0.183586891429213,0.104757774741005
0.218266154769571,0.133299661307636
0.724208940989559,0.404260392145561
0.194754934353695,0.124430084177849
0.278035663077607,0.176105869536509
0.179716754368193,0.0888298689573328
0.202818298540961,0.114763619790807
0.547410869913092,0.164597387809849
0.408806504349319,0.241675161644619
0.259726122374149,0.125510085188673
0.273894072894334,0.183094019638106
0.186969934640917,0.0876917507098359
0.107975737180786,0.148906580395489
0.184336884606471,0.0800499653313293
0.35669924009836,0.19804985849401
0.218414910095177,0.143151032982211
0.109966116466963,0.0557582808755075
