MF_m1,MF_m2,BL
0.999999503818106,4.961818943675e-07,80
0.999782221984394,0.000217778015605727,33
0.999544691264972,0.00045530873502837,78
0.997815083799769,0.0021849162002313,80
0.999906975609229,9.30243907708586e-05,79
0.998052378810194,0.00194762118980615,48
0.999987967523764,1.20324762361298e-05,79
0.999452982225121,0.000547017774878834,63
0.996788769322352,0.00321123067764832,80
0.998042944004914,0.00195705599508557,57
0.966002342556985,0.033997657443015,75
0.999872569227423,0.000127430772576598,76
0.985029072452934,0.014970927547066,55
0.9976093835678,0.00239061643219986,57
0.99958909444761,0.000410905552389858,80
0.999719150203327,0.000280849796672858,53
0.99994589269506,5.41073049398628e-05,80
0.99821015654976,0.0017898434502404,64
0.998535573534466,0.00146442646553373,59
0.998788474285499,0.00121152571450094,78
0.998568424350978,0.00143157564902194,55
0.999051839470675,0.000948160529324549,80
0.999434588701763,0.00056541129823642,38
0.999723963444677,0.000276036555322602,80
0.999876446662419,0.000123553337580686,79
0.998529156631224,0.00147084336877634,41
0.996217362537063,0.00378263746293719,38
0.999720353435783,0.000279646564216593,55
0.99405303719195,0.00594696280805016,80
0.989913992183031,0.0100860078169692,80
0.998511523620374,0.00148847637962626,40
0.999332282781059,0.000667717218940839,80
0.98709396339647,0.01290603660353,72
0.99964198155789,0.000358018442110206,55
0.998461303917482,0.00153869608251804,31
0.999506058610953,0.000493941389047446,44
0.999809746673961,0.000190253326038769,80
0.999954566800665,4.54331993353663e-05,74
0.99761987671431,0.00238012328569059,42
0.997721663486639,0.00227833651336062,39
0.99207244745368,0.00792755254631998,53
0.999922433667665,7.75663323349907e-05,41
0.999962923170132,3.70768298678759e-05,43
0.998998898565299,0.00100110143470065,52
0.998246023305336,0.00175397669466364,56
0.999160727406767,0.000839272593233425,49
0.996527343448957,0.00347265655104249,36
0.999926149539785,7.38504602146677e-05,65
0.998207483715222,0.0017925162847776,41
0.998570437572848,0.00142956242715174,64
0.999583705898609,0.000416294101391117,57
0.997786030492426,0.00221396950757389,57
0.999894937966165,0.000105062033835441,47
0.998864387450307,0.00113561254969278,35
0.999738681929588,0.000261318070412183,46
0.999164079721383,0.00083592027861731,34
0.996440949756911,0.00355905024308896,43
0.999766229853332,0.000233770146667662,45
0.999763771651619,0.000236228348381522,36
0.9990931065441,0.00090689345589966,37
0.999559750502157,0.00044024949784258,45
0.99982660049265,0.000173399507350332,52
0.999716171319297,0.000283828680703403,54
0.999656094295984,0.000343905704015697,36
0.999851001600093,0.000148998399907459,39
0.999533526373701,0.000466473626299503,71
0.998614906155102,0.00138509384489807,47
0.998746038833607,0.00125396116639303,28
0.999885784581392,0.000114215418608119,39
0.99905156579647,0.000948434203529724,51
0.9998964449864,0.000103555013600472,35
0.999333294564017,0.000666705435983184,41
0.999988108552686,1.18914473136954e-05,36
0.999935712702492,6.42872975082781e-05,46
0.999878846195602,0.000121153804397557,38
0.999013646530005,0.000986353469995331,37
0.99973510462434,0.000264895375660371,51
0.996617432873756,0.00338256712624371,36
0.999666874535808,0.000333125464192009,37
0.996448090755122,0.00355190924487826,32
0.996745716643102,0.00325428335689801,51
0.996588144560158,0.00341185543984207,34
0.999548562674788,0.000451437325211805,58
0.999227434471724,0.000772565528275768,36
0.997366711449691,0.00263328855030882,43
0.998998229887453,0.00100177011254697,37
0.999944209490962,5.57905090382599e-05,32
0.998650751174087,0.00134924882591311,34
0.999871212079048,0.000128787920951814,32
0.996804191813244,0.0031958081867558,41
0.999814232275861,0.000185767724139382,43
0.999912246676974,8.77533230256256e-05,33
0.996049311731332,0.00395068826866848,31
0.995596820722552,0.00440317927744809,40
0.998728730682871,0.00127126931712934,34
0.999532070618114,0.000467929381886124,40
0.999124416707029,0.00087558329297128,35
0.999601891288155,0.000398108711844599,36
0.999420931441167,0.000579068558833302,35
0.999484243746048,0.000515756253952199,42
0.99998062458675,1.93754132500459e-05,24
0.99909420548189,0.000905794518109934,34
0.998178446278903,0.00182155372109739,47
0.999936436455387,6.35635446130262e-05,30
0.999019310354802,0.000980689645198235,41
0.999821732581921,0.000178267418079387,36
0.99669774879559,0.00330225120440969,39
0.998889702560039,0.00111029743996118,31
0.999516097012043,0.000483902987957014,37
0.999670405253249,0.000329594746750601,48
0.99891326419441,0.00108673580558986,34
0.999840357067336,0.0001596429326639,35
0.999833327066498,0.000166672933502314,29
0.99933334993573,0.000666650064270455,41
0.992397660589033,0.00760233941096717,33
0.999915514242493,8.44857575066173e-05,39
0.999798178451538,0.000201821548461834,32
0.999467873072738,0.000532126927261583,30
0.998623953093698,0.00137604690630178,28
0.996768702842346,0.00323129715765417,30
0.998925582047522,0.00107441795247808,25
0.997426684406565,0.00257331559343511,30
0.999500464869792,0.000499535130207774,31
0.999173377457112,0.000826622542888323,38
0.998345723124797,0.0016542768752031,32
0.994939006281161,0.00506099371883889,29
0.99967687163784,0.000323128362160224,33
0.999938903564033,6.10964359666886e-05,27
0.997172894469128,0.00282710553087206,32
0.999922685401529,7.73145984705938e-05,34
0.998849606057244,0.00115039394275619,35
0.999955483910874,4.45160891257243e-05,32
0.996793476367757,0.00320652363224313,37
0.999921555608512,7.84443914875796e-05,23
0.997698557206398,0.00230144279360197,30
0.999862193422685,0.00013780657731468,44
0.998689452919659,0.00131054708034132,25
0.999821314506539,0.000178685493461129,39
0.999731024361941,0.000268975638059533,35
0.999986305080832,1.3694919168113e-05,30
0.999657975767646,0.000342024232353802,26
0.995903056729123,0.00409694327087668,25
0.978600575884256,0.0213994241157437,44
0.999431968327445,0.000568031672554999,30
0.999971946758992,2.80532410078649e-05,32
0.998536701470887,0.0014632985291129,28
0.999176287825195,0.000823712174804818,35
0.999856392263487,0.000143607736513046,31
0.999422602929796,0.000577397070204074,28
0.99997746430086,2.25356991395462e-05,31
0.999653385906276,0.000346614093724011,26
0.997589091192883,0.002410908807117,26
0.995983198812668,0.00401680118733164,28
0.999453734983706,0.00054626501629426,24
0.999950794578369,4.92054216307787e-05,27
0.999456594957676,0.000543405042324182,30
0.994837050081559,0.0051629499184412,35
0.999562340302978,0.000437659697022058,31
0.999817585227896,0.000182414772104553,27
0.999755450999225,0.000244549000774617,26
0.999741634320235,0.000258365679765036,24
0.993708491316202,0.00629150868379764,32
0.999315539489954,0.000684460510046202,27
0.999478483807156,0.000521516192843578,34
0.99703688429633,0.00296311570366977,31
0.998561056313125,0.00143894368687536,27
0.999619961855261,0.000380038144738705,22
0.999497145112802,0.000502854887197785,29
0.99806546716209,0.00193453283790991,40
0.999568477335133,0.000431522664867249,24
0.999984414185161,1.55858148392191e-05,38
0.999993479194523,6.52080547722715e-06,32
0.999992540869304,7.45913069639578e-06,29
0.999690486228839,0.000309513771161201,26
0.995716400296148,0.00428359970385206,24
0.999439490558759,0.000560509441240882,38
0.999308757718409,0.000691242281590934,25
0.99442162934878,0.00557837065121959,30
0.999884233440614,0.000115766559385543,28
0.998526456164436,0.00147354383556358,33
0.999921795241399,7.82047586012658e-05,26
