MF_m1,MF_m2,BL
0.999905188958168,9.481104183167e-05,35
0.998434171626324,0.00156582837367623,33
0.995533950765024,0.00446604923497609,59
0.998964016142029,0.0010359838579713,48
0.996255298566858,0.003744701433142,40
0.993754119873472,0.00624588012652776,57
0.999314217333414,0.000685782666585994,36
0.997833883548185,0.00216611645181525,33
0.996835725245244,0.00316427475475623,55
0.99867114569515,0.00132885430484988,41
0.999647197546189,0.000352802453810746,38
0.999766744338367,0.000233255661633504,29
0.999544862716422,0.000455137283578227,32
0.999600424103646,0.000399575896353862,40
0.999817158618873,0.000182841381127329,37
0.992186553162797,0.00781344683720303,32
0.999876892540815,0.000123107459184729,62
0.998268745592948,0.00173125440705237,27
0.999872255585965,0.000127744414035477,33
0.984451730922447,0.0155482690775534,28
0.995175438810774,0.00482456118922574,29
0.994498658286951,0.0055013417130493,29
0.999745778036459,0.000254221963541297,24
0.999766896033133,0.000233103966866884,31
0.995827318552443,0.00417268144755704,30
0.988132303256353,0.0118676967436468,47
0.998799419468773,0.00120058053122685,34
0.998102139703276,0.00189786029672453,30
0.997038901233728,0.00296109876627249,28
0.996875185151368,0.00312481484863179,27
0.998330057927944,0.00166994207205558,32
0.999759852760045,0.000240147239954522,33
0.998394038742651,0.00160596125734897,37
0.999667518254955,0.000332481745045226,22
0.999486498637382,0.000513501362618208,28
0.997840828001602,0.00215917199839804,26
0.999944039416123,5.59605838768051e-05,31
0.997813480223643,0.00218651977635686,27
0.995783182081497,0.00421681791850326,27
0.999088623725489,0.000911376274511062,24
0.999691234048993,0.000308765951006849,27
0.998085110422703,0.00191488957729658,26
0.997710135135118,0.00228986486488182,26
0.996661279631871,0.00333872036812929,27
0.961337848050202,0.0386621519497979,22
0.257553301764916,0.742446698235084,19
0.985945918752894,0.0140540812471055,25
0.710191801914974,0.289808198085026,29
0.997260965601972,0.00273903439802796,32
0.39524120604823,0.60475879395177,19
0.973086434474627,0.0269135655253729,24
0.980602624204942,0.0193973757950582,26
0.992747857549954,0.00725214245004631,23
0.935210425710866,0.0647895742891341,32
0.953005985763853,0.0469940142361475,30
0.915587726109949,0.0844122738900506,19
0.794554074179652,0.205445925820348,28
0.810215057931245,0.189784942068755,23
0.737160168134075,0.262839831865925,20
0.990512410200193,0.00948758979980676,21
0.99631367557016,0.00368632442984042,27
0.919412548065415,0.080587451934585,24
0.812706340606777,0.187293659393223,23
0.890747724612743,0.109252275387257,25
0.222150153447256,0.777849846552744,23
0.993906767906529,0.006093232093471,25
0.038445911854349,0.961554088145651,21
0.163704726923721,0.836295273076279,19
0.0565084251554342,0.943491574844566,25
0.0367221188863759,0.963277881113624,26
0.183623597955802,0.816376402044198,28
0.143217138921495,0.856782861078505,18
0.422462982959635,0.577537017040365,21
0.0455026268862299,0.95449737311377,24
0.419138012090415,0.580861987909585,21
0.0142906814187537,0.985709318581246,26
0.117468250735252,0.882531749264748,30
0.0154800681323187,0.984519931867681,19
0.212809109784116,0.787190890215884,27
0.0493631455510027,0.950636854448997,21
0.0798778024600993,0.920122197539901,19
0.0297322887679187,0.970267711232081,15
0.00414902336656523,0.995850976633435,25
0.0143377382418498,0.98566226175815,19
0.0624936448918738,0.937506355108126,20
0.00834814735865316,0.991651852641347,23
0.0253361532950993,0.974663846704901,20
0.627977110023043,0.372022889976957,25
0.436700546836019,0.563299453163981,17
0.977809873514695,0.0221901264853055,18
0.989134887545659,0.0108651124543405,21
0.964680686086992,0.0353193139130083,25
0.822332890279244,0.177667109720756,24
0.946856103907022,0.0531438960929776,18
0.902374142331959,0.0976258576680412,20
0.874430327544668,0.125569672455332,24
0.973504310542026,0.0264956894579734,17
0.999666696253213,0.000333303746786874,23
0.842408674707828,0.157591325292172,27
0.736995018517242,0.263004981482758,14
0.706701260405858,0.293298739594142,24
0.836780089090858,0.163219910909142,17
0.180178141016678,0.819821858983322,17
0.620904168764529,0.379095831235471,10
0.287524877114661,0.712475122885339,16
0.286422735928987,0.713577264071013,17
0.507733934254132,0.492266065745868,19
0.16718510876466,0.83281489123534,21
0.847152596896654,0.152847403103346,15
0.859274186391845,0.140725813608155,22
0.0867914950330785,0.913208504966921,12
0.518122290888661,0.481877709111339,18
0.285489912420285,0.714510087579715,17
0.290909496363604,0.709090503636396,17
0.670567958381205,0.329432041618795,21
0.437789152462468,0.562210847537532,16
0.81061797346586,0.18938202653414,17
0.314112425559342,0.685887574440658,24
0.602677805773975,0.397322194226025,16
0.455834319272941,0.544165680727059,19
0.278581861750515,0.721418138249485,26
0.124605007384566,0.875394992615434,12
0.113541628090702,0.886458371909298,23
0.311936292303392,0.688063707696608,17
0.808939785467259,0.191060214532741,16
0.379080685063563,0.620919314936437,10
0.0428763662270397,0.95712363377296,16
0.125830877312928,0.874169122687072,15
0.0428763686954054,0.957123631304595,16
0.0400006088886584,0.959999391111342,19
0.152463325054227,0.847536674945773,12
0.44441833832304,0.55558166167696,22
0.0817919990406667,0.918208000959333,12
0.154614900962323,0.845385099037677,12
0.765450111885559,0.234549888114441,17
0.239711553265806,0.760288446734194,14
0.019923553842171,0.980076446157829,19
0.0830261681302586,0.916973831869741,11
0.351996071431322,0.648003928568678,15
0.0639985882796115,0.936001411720389,19
0.144726318670248,0.855273681329752,16
0.0384073263984733,0.961592673601527,14
0.477448771246957,0.522551228753043,22
0.047074283531535,0.952925716468465,10
0.506259537700078,0.493740462299922,20
0.0785205280238023,0.921479471976198,11
0.34763524831789,0.65236475168211,12
0.0874401163247203,0.91255988367528,9
0.0431528164605179,0.956847183539482,15
0.37346396260192,0.62653603739808,14
0.36096350489699,0.63903649510301,15
