nfb_score_raw_s1,nfb_score_raw_s2,nfb_score_nrm_s1,nfb_score_nrm_s2
1307.25104912781,635.024177403276,145.250116569757,79.3780221754095
1329.526339212,1595.70614278248,166.1907924015,159.570614278248
1564.09840512261,2043.45582448782,195.512300640326,204.345582448782
1625.37960900266,1212.31382606416,203.172451125332,134.701536229351
1898.835989965,2223.75144211029,210.981776662778,247.08349356781
1152.55840008286,1647.55813322596,128.062044453651,164.755813322596
1141.53428401584,1141.03592865811,126.837142668427,126.781769850902
1339.95112269721,1268.08071930012,148.883458077468,140.897857700013
1543.89496014045,1284.56218603769,171.54388446005,160.570273254711
863.268064585529,969.470568876934,95.9186738428366,107.718952097437
890.170111348971,1106.77461016585,98.9077901498856,122.974956685094
1299.90119840461,1047.78736268309,129.990119840461,104.778736268309
1477.8932771983,692.412926734467,164.210364133145,76.9347696371629
1218.09723670025,1392.41307936302,152.262154587532,174.051634920378
1251.57926141627,1252.42234214119,178.797037345181,156.552792767648
320.575422845987,580.319823973289,53.4292371409977,64.4799804414766
1523.43083882363,1858.23404986647,217.632976974804,206.470449985163
1010.29499602433,1033.80906662188,126.286874503041,129.226133327735
1463.23051708048,1600.99916843555,182.90381463506,177.888796492839
853.103206393311,950.55721462791,106.637900799164,105.61746829199
844.348332855342,1515.2402092237,140.724722142557,168.360023247078
583.88115560552,944.808667858419,64.8756839561689,104.978740873158
