ppi,lsp
1.64,0.609347442680776
6.97,0.769753086419753
3.4,0.613168724279835
4.73,0.534979423868313
2.72,0.644824311490978
3.12,0.584362139917695
3.06,0.599326599326599
3.89,0.653371320037987
2.11,0.674603174603175
2.09,0.520576131687243
3.8,0.633428300094967
7.39,0.661265432098765
3.29,0.674897119341564
2.9,0.593542260208927
3.55,0.702160493827161
5.07,0.538720538720539
4.53,0.640329218106996
4.53,0.722222222222222
3.05,0.683127572016461
5.18,0.73015873015873
1.22,0.652263374485597
6.2,0.705603038936372
3.04,0.62962962962963
2.35,0.653371320037987
3.32,0.699845679012346
3.32,0.686067019400353
2.61,0.644824311490978
3.56,0.662551440329218
6.17,0.733024691358025
1.37,0.616255144032922
3.3,0.631687242798354
