St_m1,St_m2
0.0760288231520603,0.0632824693116544
4.58165410912924,3.0766717046043
0.410857988647059,0.353186516576268
1.56085768477403,0.937060587607175
0.16099291335065,0.188376248728408
1.00711695179939,0.597598416734307
0.0933384193240811,0.103569905243621
0.817880966439084,0.411243366716504
1.1074376064496,0.772306351732227
1.32153554820826,0.658144068888076
1.17807560311672,1.30777191969111
2.98045650121066,2.84543283109028
0.996356132367215,0.99485158463971
1.4873988731794,2.14182873231307
0.453131876213631,0.377727221066031
0.569901579241694,0.541335659939964
0.196884149823423,0.184181620429217
2.23352315062936,0.772156085349386
1.52399600008099,1.61809462415541
1.07917030227712,1.14118120475929
1.0099308332359,1.03236312180975
0.432410194457618,0.481590366460528
2.77516250814006,3.25326223186829
0.313606632036041,0.303332656950966
0.402836898968567,0.420023751804404
2.40299783900375,2.69677300334368
2.33103657100052,1.80762685357708
2.31628938504246,1.55633155016222
1.14268681991855,1.02207775574539
0.578850694936345,0.587313108938514
2.6798253479851,4.03717618207929
0.30431981329931,0.336996920365262
0.783690907804814,0.800824768278346
2.63032624263049,2.38682148904091
2.48141330452206,2.37177558088785
2.80008626750578,2.88801435276616
0.335551257708125,0.174252357592015
0.894419551336435,0.708500542962989
2.41675907544432,1.91614319366707
2.68956015321225,2.63065469312553
1.33065982558511,1.26582520924442
5.55342109262372,3.33246676212369
5.26313838571115,3.80478041834588
3.10440626128995,2.92217564223608
1.68829959910012,1.46151718392629
1.79826154523148,1.53840656009768
1.36693050089259,1.52806698786754
3.67779705175031,3.07476529143764
2.87859111055735,3.68032961909004
1.82698217472063,1.73258194508675
1.40235205723298,1.03880382658893
1.561435850497,1.55061592913982
3.9566943106977,2.71250277336821
1.53187182971349,1.24705667798094
2.12037322789363,1.71486334814482
2.35791110629136,2.06495409617417
1.3107429319321,1.71413464363318
2.44938130342064,1.94602612195357
2.84487716891166,2.45515996286854
2.22252261635153,1.75294485939927
3.09606299826178,3.09495962773508
3.05569209151335,1.08614803879356
2.81755739367518,3.01849752295668
3.64914505767694,3.12069210864587
4.22531472684549,2.75640107000273
2.10363638207319,2.07072684796706
2.18179198664842,2.15791069324504
3.17296798331282,3.17691667293509
4.11118174827807,2.82648960153709
1.9848477594331,1.48305121187182
3.80407088926058,2.57852234373694
2.14139646176345,2.21514591874074
5.9198105814202,3.72594726203992
3.49736427264714,3.34143504091012
4.3374430297582,3.78853778784117
3.06324024561254,2.51938368809909
2.24896439638289,2.19736243472467
2.10808985791405,1.47940430963489
3.78157470854199,3.27531996801624
1.98553529149194,2.42943464052134
1.1658530443971,0.956447974069746
